Year,District,Code,Location,type_of_crime,total
2012,Mitte,10111,Tiergarten Süd,Robbery,70
2012,Mitte,10111,Tiergarten Süd,Street_robbery,46
2012,Mitte,10111,Tiergarten Süd,Injury,586
2012,Mitte,10111,Tiergarten Süd,Agg_assault,194
2012,Mitte,10111,Tiergarten Süd,Threat,118
2012,Mitte,10111,Tiergarten Süd,Theft,2263
2012,Mitte,10111,Tiergarten Süd,Car,18
2012,Mitte,10111,Tiergarten Süd,From_car,328
2012,Mitte,10111,Tiergarten Süd,Bike,120
2012,Mitte,10111,Tiergarten Süd,Burglary,68
2012,Mitte,10111,Tiergarten Süd,Fire,16
2012,Mitte,10111,Tiergarten Süd,Arson,4
2012,Mitte,10111,Tiergarten Süd,Damage,273
2012,Mitte,10111,Tiergarten Süd,Graffiti,26
2012,Mitte,10111,Tiergarten Süd,Drugs,171
2012,Mitte,10111,Tiergarten Süd,Local,1032
2012,Mitte,10112,Regierungsviertel,Robbery,65
2012,Mitte,10112,Regierungsviertel,Street_robbery,29
2012,Mitte,10112,Regierungsviertel,Injury,474
2012,Mitte,10112,Regierungsviertel,Agg_assault,123
2012,Mitte,10112,Regierungsviertel,Threat,142
2012,Mitte,10112,Regierungsviertel,Theft,3203
2012,Mitte,10112,Regierungsviertel,Car,10
2012,Mitte,10112,Regierungsviertel,From_car,307
2012,Mitte,10112,Regierungsviertel,Bike,170
2012,Mitte,10112,Regierungsviertel,Burglary,37
2012,Mitte,10112,Regierungsviertel,Fire,10
2012,Mitte,10112,Regierungsviertel,Arson,4
2012,Mitte,10112,Regierungsviertel,Damage,380
2012,Mitte,10112,Regierungsviertel,Graffiti,124
2012,Mitte,10112,Regierungsviertel,Drugs,98
2012,Mitte,10112,Regierungsviertel,Local,870
2012,Mitte,10113,Alexanderplatz,Robbery,242
2012,Mitte,10113,Alexanderplatz,Street_robbery,136
2012,Mitte,10113,Alexanderplatz,Injury,1541
2012,Mitte,10113,Alexanderplatz,Agg_assault,454
2012,Mitte,10113,Alexanderplatz,Threat,304
2012,Mitte,10113,Alexanderplatz,Theft,8988
2012,Mitte,10113,Alexanderplatz,Car,81
2012,Mitte,10113,Alexanderplatz,From_car,792
2012,Mitte,10113,Alexanderplatz,Bike,822
2012,Mitte,10113,Alexanderplatz,Burglary,275
2012,Mitte,10113,Alexanderplatz,Fire,49
2012,Mitte,10113,Alexanderplatz,Arson,27
2012,Mitte,10113,Alexanderplatz,Damage,1538
2012,Mitte,10113,Alexanderplatz,Graffiti,522
2012,Mitte,10113,Alexanderplatz,Drugs,435
2012,Mitte,10113,Alexanderplatz,Local,3108
2012,Mitte,10114,Brunnenstraße Süd,Robbery,52
2012,Mitte,10114,Brunnenstraße Süd,Street_robbery,25
2012,Mitte,10114,Brunnenstraße Süd,Injury,254
2012,Mitte,10114,Brunnenstraße Süd,Agg_assault,60
2012,Mitte,10114,Brunnenstraße Süd,Threat,66
2012,Mitte,10114,Brunnenstraße Süd,Theft,1916
2012,Mitte,10114,Brunnenstraße Süd,Car,86
2012,Mitte,10114,Brunnenstraße Süd,From_car,192
2012,Mitte,10114,Brunnenstraße Süd,Bike,396
2012,Mitte,10114,Brunnenstraße Süd,Burglary,131
2012,Mitte,10114,Brunnenstraße Süd,Fire,14
2012,Mitte,10114,Brunnenstraße Süd,Arson,5
2012,Mitte,10114,Brunnenstraße Süd,Damage,428
2012,Mitte,10114,Brunnenstraße Süd,Graffiti,122
2012,Mitte,10114,Brunnenstraße Süd,Drugs,213
